,,"Tunbridge Wells A26 Roadside",
Date,Time,"PM10 particulate matter (Grav Equiv)",Status
01/09/2020,01:00,16.000,"V µg/m³ (VCM)"
01/09/2020,02:00,16.000,"V µg/m³ (VCM)"
01/09/2020,03:00,14.000,"V µg/m³ (VCM)"
01/09/2020,04:00,14.000,"V µg/m³ (VCM)"
01/09/2020,05:00,16.000,"V µg/m³ (VCM)"
01/09/2020,06:00,24.000,"V µg/m³ (VCM)"
01/09/2020,07:00,27.000,"V µg/m³ (VCM)"
01/09/2020,08:00,23.000,"V µg/m³ (VCM)"
01/09/2020,09:00,23.000,"V µg/m³ (VCM)"
01/09/2020,10:00,18.000,"V µg/m³ (VCM)"
01/09/2020,11:00,19.000,"V µg/m³ (VCM)"
01/09/2020,12:00,12.000,"V µg/m³ (VCM)"
01/09/2020,13:00,20.000,"V µg/m³ (VCM)"
01/09/2020,14:00,20.000,"V µg/m³ (VCM)"
01/09/2020,15:00,23.000,"V µg/m³ (VCM)"
01/09/2020,16:00,25.000,"V µg/m³ (VCM)"
01/09/2020,17:00,22.000,"V µg/m³ (VCM)"
01/09/2020,18:00,25.000,"V µg/m³ (VCM)"
01/09/2020,19:00,17.000,"V µg/m³ (VCM)"
01/09/2020,20:00,14.000,"V µg/m³ (VCM)"
01/09/2020,21:00,13.000,"V µg/m³ (VCM)"
01/09/2020,22:00,14.000,"V µg/m³ (VCM)"
01/09/2020,23:00,14.000,"V µg/m³ (VCM)"
01/09/2020,24:00,12.000,"V µg/m³ (VCM)"
02/09/2020,01:00,8.000,"V µg/m³ (VCM)"
02/09/2020,02:00,10.000,"V µg/m³ (VCM)"
02/09/2020,03:00,10.000,"V µg/m³ (VCM)"
02/09/2020,04:00,10.000,"V µg/m³ (VCM)"
02/09/2020,05:00,9.000,"V µg/m³ (VCM)"
02/09/2020,06:00,16.000,"V µg/m³ (VCM)"
02/09/2020,07:00,17.000,"V µg/m³ (VCM)"
02/09/2020,08:00,17.000,"V µg/m³ (VCM)"
02/09/2020,09:00,12.000,"V µg/m³ (VCM)"
02/09/2020,10:00,22.000,"V µg/m³ (VCM)"
02/09/2020,11:00,21.000,"V µg/m³ (VCM)"
02/09/2020,12:00,19.000,"V µg/m³ (VCM)"
02/09/2020,13:00,12.000,"V µg/m³ (VCM)"
02/09/2020,14:00,18.000,"V µg/m³ (VCM)"
02/09/2020,15:00,19.000,"V µg/m³ (VCM)"
02/09/2020,16:00,16.000,"V µg/m³ (VCM)"
02/09/2020,17:00,22.000,"V µg/m³ (VCM)"
02/09/2020,18:00,14.000,"V µg/m³ (VCM)"
02/09/2020,19:00,11.000,"V µg/m³ (VCM)"
02/09/2020,20:00,17.000,"V µg/m³ (VCM)"
02/09/2020,21:00,16.000,"V µg/m³ (VCM)"
02/09/2020,22:00,11.000,"V µg/m³ (VCM)"
02/09/2020,23:00,16.000,"V µg/m³ (VCM)"
02/09/2020,24:00,15.000,"V µg/m³ (VCM)"
03/09/2020,01:00,12.000,"V µg/m³ (VCM)"
03/09/2020,02:00,11.000,"V µg/m³ (VCM)"
03/09/2020,03:00,13.000,"V µg/m³ (VCM)"
03/09/2020,04:00,9.000,"V µg/m³ (VCM)"
03/09/2020,05:00,13.000,"V µg/m³ (VCM)"
03/09/2020,06:00,12.000,"V µg/m³ (VCM)"
03/09/2020,07:00,10.000,"V µg/m³ (VCM)"
03/09/2020,08:00,16.000,"V µg/m³ (VCM)"
03/09/2020,09:00,17.000,"V µg/m³ (VCM)"
03/09/2020,10:00,11.000,"V µg/m³ (VCM)"
03/09/2020,11:00,18.000,"V µg/m³ (VCM)"
03/09/2020,12:00,20.000,"V µg/m³ (VCM)"
03/09/2020,13:00,15.000,"V µg/m³ (VCM)"
03/09/2020,14:00,19.000,"V µg/m³ (VCM)"
03/09/2020,15:00,21.000,"V µg/m³ (VCM)"
03/09/2020,16:00,20.000,"V µg/m³ (VCM)"
03/09/2020,17:00,13.000,"V µg/m³ (VCM)"
03/09/2020,18:00,15.000,"V µg/m³ (VCM)"
03/09/2020,19:00,11.000,"V µg/m³ (VCM)"
03/09/2020,20:00,15.000,"V µg/m³ (VCM)"
03/09/2020,21:00,4.000,"V µg/m³ (VCM)"
03/09/2020,22:00,11.000,"V µg/m³ (VCM)"
03/09/2020,23:00,3.000,"V µg/m³ (VCM)"
03/09/2020,24:00,nodata,"V µg/m³ (VCM)"
04/09/2020,01:00,7.000,"V µg/m³ (VCM)"
04/09/2020,02:00,9.000,"V µg/m³ (VCM)"
04/09/2020,03:00,10.000,"V µg/m³ (VCM)"
04/09/2020,04:00,9.000,"V µg/m³ (VCM)"
04/09/2020,05:00,12.000,"V µg/m³ (VCM)"
04/09/2020,06:00,14.000,"V µg/m³ (VCM)"
04/09/2020,07:00,18.000,"V µg/m³ (VCM)"
04/09/2020,08:00,19.000,"V µg/m³ (VCM)"
04/09/2020,09:00,15.000,"V µg/m³ (VCM)"
04/09/2020,10:00,19.000,"V µg/m³ (VCM)"
04/09/2020,11:00,19.000,"V µg/m³ (VCM)"
04/09/2020,12:00,20.000,"V µg/m³ (VCM)"
04/09/2020,13:00,9.000,"V µg/m³ (VCM)"
04/09/2020,14:00,14.000,"V µg/m³ (VCM)"
04/09/2020,15:00,15.000,"V µg/m³ (VCM)"
04/09/2020,16:00,20.000,"V µg/m³ (VCM)"
04/09/2020,17:00,17.000,"V µg/m³ (VCM)"
04/09/2020,18:00,15.000,"V µg/m³ (VCM)"
04/09/2020,19:00,19.000,"V µg/m³ (VCM)"
04/09/2020,20:00,14.000,"V µg/m³ (VCM)"
04/09/2020,21:00,10.000,"V µg/m³ (VCM)"
04/09/2020,22:00,13.000,"V µg/m³ (VCM)"
04/09/2020,23:00,16.000,"V µg/m³ (VCM)"
04/09/2020,24:00,13.000,"V µg/m³ (VCM)"
05/09/2020,01:00,17.000,"V µg/m³ (VCM)"
05/09/2020,02:00,16.000,"V µg/m³ (VCM)"
05/09/2020,03:00,15.000,"V µg/m³ (VCM)"
05/09/2020,04:00,14.000,"V µg/m³ (VCM)"
05/09/2020,05:00,14.000,"V µg/m³ (VCM)"
05/09/2020,06:00,16.000,"V µg/m³ (VCM)"
05/09/2020,07:00,15.000,"V µg/m³ (VCM)"
05/09/2020,08:00,15.000,"V µg/m³ (VCM)"
05/09/2020,09:00,13.000,"V µg/m³ (VCM)"
05/09/2020,10:00,15.000,"V µg/m³ (VCM)"
05/09/2020,11:00,10.000,"V µg/m³ (VCM)"
05/09/2020,12:00,12.000,"V µg/m³ (VCM)"
05/09/2020,13:00,15.000,"V µg/m³ (VCM)"
05/09/2020,14:00,9.000,"V µg/m³ (VCM)"
05/09/2020,15:00,14.000,"V µg/m³ (VCM)"
05/09/2020,16:00,14.000,"V µg/m³ (VCM)"
05/09/2020,17:00,11.000,"V µg/m³ (VCM)"
05/09/2020,18:00,16.000,"V µg/m³ (VCM)"
05/09/2020,19:00,13.000,"V µg/m³ (VCM)"
05/09/2020,20:00,9.000,"V µg/m³ (VCM)"
05/09/2020,21:00,10.000,"V µg/m³ (VCM)"
05/09/2020,22:00,15.000,"V µg/m³ (VCM)"
05/09/2020,23:00,12.000,"V µg/m³ (VCM)"
05/09/2020,24:00,15.000,"V µg/m³ (VCM)"
06/09/2020,01:00,14.000,"V µg/m³ (VCM)"
06/09/2020,02:00,12.000,"V µg/m³ (VCM)"
06/09/2020,03:00,11.000,"V µg/m³ (VCM)"
06/09/2020,04:00,13.000,"V µg/m³ (VCM)"
06/09/2020,05:00,14.000,"V µg/m³ (VCM)"
06/09/2020,06:00,12.000,"V µg/m³ (VCM)"
06/09/2020,07:00,13.000,"V µg/m³ (VCM)"
06/09/2020,08:00,11.000,"V µg/m³ (VCM)"
06/09/2020,09:00,9.000,"V µg/m³ (VCM)"
06/09/2020,10:00,16.000,"V µg/m³ (VCM)"
06/09/2020,11:00,15.000,"V µg/m³ (VCM)"
06/09/2020,12:00,11.000,"V µg/m³ (VCM)"
06/09/2020,13:00,12.000,"V µg/m³ (VCM)"
06/09/2020,14:00,14.000,"V µg/m³ (VCM)"
06/09/2020,15:00,10.000,"V µg/m³ (VCM)"
06/09/2020,16:00,16.000,"V µg/m³ (VCM)"
06/09/2020,17:00,10.000,"V µg/m³ (VCM)"
06/09/2020,18:00,17.000,"V µg/m³ (VCM)"
06/09/2020,19:00,11.000,"V µg/m³ (VCM)"
06/09/2020,20:00,14.000,"V µg/m³ (VCM)"
06/09/2020,21:00,15.000,"V µg/m³ (VCM)"
06/09/2020,22:00,15.000,"V µg/m³ (VCM)"
06/09/2020,23:00,16.000,"V µg/m³ (VCM)"
06/09/2020,24:00,11.000,"V µg/m³ (VCM)"
07/09/2020,01:00,13.000,"V µg/m³ (VCM)"
07/09/2020,02:00,16.000,"V µg/m³ (VCM)"
07/09/2020,03:00,12.000,"V µg/m³ (VCM)"
07/09/2020,04:00,11.000,"V µg/m³ (VCM)"
07/09/2020,05:00,9.000,"V µg/m³ (VCM)"
