name,tags,time,PM_10,PM_2_5
feinstaub,,1599384561,10.68,2.1
feinstaub,,1599384710,10.9,1.83
feinstaub,,1599384856,14.5,3.78
feinstaub,,1599385005,9.27,2.22
feinstaub,,1599385151,11.77,2.17
feinstaub,,1599385296,9.38,2.75
feinstaub,,1599385447,9.48,2.17
feinstaub,,1599385593,9.65,2.4
feinstaub,,1599385739,11.75,2.28
feinstaub,,1599385884,10.75,2.37
feinstaub,,1599386030,9.52,2.28
feinstaub,,1599386176,10.5,3.8
feinstaub,,1599386321,12.65,3.22
feinstaub,,1599386467,9.55,1.83
feinstaub,,1599386613,8.45,2.2
feinstaub,,1599386801,9.25,1.8
feinstaub,,1599386934,4.9,1.7
feinstaub,,1599387080,7.85,1.8
feinstaub,,1599387225,5.47,1.27
feinstaub,,1599387371,6.53,1.6
feinstaub,,1599387518,5.72,1.6
feinstaub,,1599387673,5,1.3
feinstaub,,1599387819,6.78,1.5
feinstaub,,1599387964,6.12,1.4
feinstaub,,1599388110,4.93,1.1
feinstaub,,1599388256,3.33,1
feinstaub,,1599388402,3.97,1.5
feinstaub,,1599388547,6.05,1.58
feinstaub,,1599388693,6.87,1.37
feinstaub,,1599388839,5.1,1.4
feinstaub,,1599388985,5.2,1.45
feinstaub,,1599389131,24.25,17.73
feinstaub,,1599389276,6.78,1.83
feinstaub,,1599389422,5.53,1.55
feinstaub,,1599389568,5.5,1.27
feinstaub,,1599389713,4.18,1.2
feinstaub,,1599389859,4.78,1.2
feinstaub,,1599390005,4.68,1.1
feinstaub,,1599390159,5.45,1.65
feinstaub,,1599390323,8.43,1.9
feinstaub,,1599390469,9.63,1.83
feinstaub,,1599390615,6.05,1.65
feinstaub,,1599390761,8.85,1.73
feinstaub,,1599390910,4.8,1.8
feinstaub,,1599391055,10.13,1.7
feinstaub,,1599391202,6.87,1.73
feinstaub,,1599391357,4.28,1.5
feinstaub,,1599391502,3.7,1
feinstaub,,1599391648,4.12,1.4
feinstaub,,1599391800,4.37,1.2
feinstaub,,1599391945,5.47,1.05
feinstaub,,1599392104,4.85,1.4
feinstaub,,1599392261,5.12,1.25
feinstaub,,1599392406,3.6,0.95
feinstaub,,1599392561,4.97,1.52
feinstaub,,1599392707,5.4,1.33
feinstaub,,1599392854,6.1,1.4
feinstaub,,1599393000,5.95,1.3
feinstaub,,1599393154,4.65,1.3
feinstaub,,1599393301,4.95,1.37
feinstaub,,1599393447,9.32,3.03
feinstaub,,1599393592,5.5,1.4
feinstaub,,1599393741,7,1.98
feinstaub,,1599393889,5.73,1.57
feinstaub,,1599394044,3.9,1.15
feinstaub,,1599394190,7.7,1.5
feinstaub,,1599394336,5.87,1.4
feinstaub,,1599394481,7.75,2.67
feinstaub,,1599394627,8.52,2.87
feinstaub,,1599394778,8.35,1.58
feinstaub,,1599394924,7.93,3.35
feinstaub,,1599395070,6.03,2.62
feinstaub,,1599395219,11,3.9
feinstaub,,1599395365,9.63,1.3
feinstaub,,1599395511,5.43,1.33
feinstaub,,1599395657,5.7,1.7
feinstaub,,1599395803,4.82,1.37
feinstaub,,1599395949,4,1.42
feinstaub,,1599396098,5.43,1.48
feinstaub,,1599396244,4.57,1.4
feinstaub,,1599396392,7.4,1.55
feinstaub,,1599396538,4.6,1.08
feinstaub,,1599396684,5.35,1.4
feinstaub,,1599396830,3.58,1.33
feinstaub,,1599396978,3.2,1.15
feinstaub,,1599397124,6.35,1.5
feinstaub,,1599397269,4.7,1.2
feinstaub,,1599397564,4.75,1.42
feinstaub,,1599397710,5.57,1.4
feinstaub,,1599398075,5.22,1.4
feinstaub,,1599398224,7.15,1.62
feinstaub,,1599398377,4.97,1.35
feinstaub,,1599398523,7.47,1.4
feinstaub,,1599398669,6.15,1.7
feinstaub,,1599398815,6.07,1.6
feinstaub,,1599398963,6.53,1.35
feinstaub,,1599399110,5.18,1.62
feinstaub,,1599399256,5.3,1.45
feinstaub,,1599399402,7.43,1.23
feinstaub,,1599399548,6.4,1.27
feinstaub,,1599399694,7.2,1.87
feinstaub,,1599399845,7.53,1.6
feinstaub,,1599399992,8.68,1.8
feinstaub,,1599400138,6.2,1.3
feinstaub,,1599400283,6.97,1.55
feinstaub,,1599400432,7.97,1.48
feinstaub,,1599400578,5.12,1.35
feinstaub,,1599400723,8.32,1.8
feinstaub,,1599400869,7.72,1.8
feinstaub,,1599401015,7.75,1.98
feinstaub,,1599401161,6.5,1.6
feinstaub,,1599401309,7.78,1.92
feinstaub,,1599401454,7.7,1.83
feinstaub,,1599401600,7.2,1.65
feinstaub,,1599401749,7.78,2.7
feinstaub,,1599401898,7.7,1.73
feinstaub,,1599402046,12.18,2.12
feinstaub,,1599402193,8.18,1.8
feinstaub,,1599402340,5.65,1.67
feinstaub,,1599402486,8.1,1.95
feinstaub,,1599402636,8.45,1.87
feinstaub,,1599402785,6.53,1.2
feinstaub,,1599402937,5.97,1.4
feinstaub,,1599403083,4.12,0.9
feinstaub,,1599403232,5,1.33
feinstaub,,1599403378,6.6,1.62
